Date,Open,High,Low,Close,Volume
2021-08-12,32.68873190591888,32.823565419546064,32.42749056684171,32.76457595825195,2967600
2021-08-13,32.87412950817098,32.95840247241547,32.334795395745765,32.427494049072266,3649300
2021-08-16,32.20839151992958,32.49491317564984,31.888160677728106,32.1999626159668,4044900
2021-08-17,31.87973107646458,32.22524215878654,31.44994703828082,31.770177841186523,4718800
2021-08-18,31.584783271264484,32.166252250673466,31.44152405599692,31.610063552856445,4839500
2021-08-19,31.340398282972647,31.90501591656029,31.19713905955617,31.49208641052246,8430100
2021-08-20,31.35724582767103,31.76174633864672,31.18870314442675,31.702756881713867,5027700
2021-08-23,31.972428698515117,32.34322330036654,31.854449766902317,32.05670166015625,3650100
2021-08-24,32.06511950663427,32.54546401911147,32.02298464346126,32.393775939941406,3517600
2021-08-25,32.570754272532234,33.421890258239806,32.45277213058956,33.11008834838867,4573900
2021-08-26,33.20278691944839,33.31233694326033,32.56232529482101,32.69715881347656,4326900
2021-08-27,32.79828494826303,33.33762226716046,32.67188032584843,33.25334930419922,3724900
2021-08-30,33.33762255387651,33.33762255387651,32.55390167236328,32.55390167236328,3683100
2021-08-31,32.61288910692348,33.000535071663606,32.43592071624012,32.74772262573242,4716600
2021-09-01,32.87412851727674,32.87412851727674,32.19153520823799,32.4190673828125,3933600
2021-09-02,32.452773552605,32.890983312111,32.360078116186735,32.604461669921875,2787500
2021-09-03,32.76457919080835,32.815139754229016,32.27580564650951,32.45277404785156,4130000
2021-09-07,32.51175815270855,32.95839349008328,32.41905952464572,32.494903564453125,4058000
2021-09-08,32.36850454774317,32.52861835761368,32.09883749181133,32.376930236816406,5041800
2021-09-09,32.34322203251248,32.99210934563129,32.1493990503629,32.69715881347656,5211500
2021-09-10,32.84884872322577,32.99211115290519,32.43592245614799,32.57918167114258,4102700
2021-09-13,32.99211499719462,33.37133212327772,32.781437387288356,33.3544807434082,4823400
2021-09-14,33.379766442839504,33.68314276466855,32.739304604603575,32.84885787963867,5819700
2021-09-15,32.84884656303423,34.07077712069036,32.84884656303423,33.935943603515625,7590700
2021-09-16,34.087632766954634,34.45842414698749,33.97807952627129,34.04549789428711,5348200
2021-09-17,33.834811839844264,34.365716888883334,33.67469486326213,33.80952835083008,12714800
2021-09-20,32.93311835651937,32.94154404462049,31.905010815219658,32.47805404663086,9578000
2021-09-21,32.62974156641868,32.71401130466091,32.02298916408437,32.21681213378906,5393400
2021-09-22,32.671871481619604,33.25334030256762,32.427484777214396,32.90782928466797,3862800
2021-09-23,33.30391038510796,34.54269551550334,33.25334661142575,34.34886932373047,4801000
2021-09-24,33.92751203600024,35.056743859163326,33.893806070367056,34.980899810791016,5565800
2021-09-27,35.393829534472175,36.81800866083479,35.393829534472175,36.742164611816406,9988400
2021-09-28,37.079242565893054,37.23093063356459,36.48091919601297,36.71687698364258,6864100
2021-09-29,36.776283264160156,36.92902304698142,36.453832251873884,36.776283264160156,5511100
2021-09-30,36.996913779925855,37.039344024406596,35.98713675856393,36.01259231567383,5147000
2021-10-01,36.16532521487904,37.31087362031134,36.03804421670161,37.047821044921875,4893500
2021-10-04,37.14964955594654,37.65878330158082,36.801742953067546,36.92053985595703,3907200
2021-10-05,37.19207804167832,37.667265630824424,36.83568411284607,37.310874938964844,4123900
2021-10-06,36.971444113225864,37.25146808246059,36.26714699385976,37.115699768066406,4084600
2021-10-07,37.55694813838606,37.61634981656742,37.05630182178639,37.209041595458984,3883900
2021-10-08,37.08177269619258,37.60787473423947,37.01388689155514,37.29391098022461,2764300
2021-10-11,37.633328847203586,37.75212900075666,36.895088553476405,36.9035758972168,3342000
2021-10-12,36.84417340100789,37.03934345911573,36.5896081228745,36.733863830566406,4122500
2021-10-13,36.674459217513004,36.716886217251385,35.57133780247944,36.241695404052734,4202500
